0,"taxon","sample","mass","carbonateAge","carbonateErr","graphiteAge","graphiteErr","medianAge","yngAge","oldAge"
1,"Leodia","13631;2",13.1,-455,40,NA,NA,12,54,9
2,"Leodia","13631;3",29.2,-570,45,NA,NA,16,53,12
3,"Leodia","13631;4",22.3,-465,30,-385,15,12,54,9
4,"Leodia","13631;5",15.2,-380,35,NA,NA,9,54,7
5,"Leodia","13631;6",42.4,-465,40,NA,NA,12,54,9
6,"Leodia","13631;7 ave",NA,-437.5,32.5,NA,NA,11,54,8
7,"Leodia","13631;8",19,-440,35,NA,NA,11,54,8
8,"Leodia","13631;9",35.1,-530,45,NA,NA,15,53,10
9,"Leodia","13631;10",50.5,-500,40,NA,NA,14,53,10
10,"Leodia","13631;12",24.1,-490,60,NA,NA,14,54,9
11,"Leodia","13631;14",58.7,-455,40,NA,NA,12,54,9
12,"Leodia","13631;15 ave",NA,-402.5,45,NA,NA,10,54,7
13,"Leodia","13631;16",24.9,-440,40,NA,NA,11,54,8
14,"Leodia","13631;19",36.6,-450,45,NA,NA,12,54,8
15,"Leodia","13631;20",19.3,-475,35,NA,NA,13,54,9
16,"Leodia","13631;21",24.1,-460,40,NA,NA,12,54,9
17,"Leodia","13631;23",31.6,-415,50,NA,NA,11,54,7
18,"Leodia","13631;24",48.2,-530,40,NA,NA,15,53,11
19,"Leodia","13631;25",39.7,-500,60,NA,NA,14,54,9
20,"Leodia","13631;26",42.1,-555,40,NA,NA,15,53,12
21,"Leodia","13631;28",31.2,-485,40,NA,NA,13,54,10
22,"Leodia","13631;31",42.2,-465,40,NA,NA,12,54,9
23,"Leodia","13631;32",35.3,-450,45,NA,NA,12,54,8
24,"Leodia","13631;33",27.9,-460,45,NA,NA,12,54,9
25,"Leodia","13631;34",20.5,-480,35,NA,NA,13,54,10
26,"Leodia","13631;37",36.8,-510,45,NA,NA,14,53,10
27,"Leodia","13631;38",36.1,-595,40,NA,NA,17,53,13
28,"Leodia","13631;39",34.2,-465,45,NA,NA,12,54,9
29,"Leodia","13631;40",25.5,-460,40,NA,NA,12,54,9
30,"Leodia","13631;41",29.1,-465,45,NA,NA,12,54,9
31,"Tucetona","15140I;Casebolt 33-9",8.4,-1160,30,NA,NA,45,49,41
32,"Tucetona","15140F;Casebolt 33-6",12.4,-835,40,NA,NA,29,52,23
33,"Tucetona","15140Y;Casebolt 33-25",13.1,-770,35,NA,NA,25,52,20
34,"Tucetona","15140Z;Casebolt 33-26",5,375,35,NA,NA,103,179,58
35,"Tucetona","15140V;Casebolt 33-22",17.6,385,45,400,20,110,204,58
36,"Tucetona","15140AA;Casebolt 33-27",8.9,390,35,NA,NA,107,187,58
37,"Tucetona","15140AC;Casebolt 33-29",7,390,40,NA,NA,109,194,58
38,"Tucetona","15140L;Casebolt 33-12",7.4,425,35,NA,NA,116,251,58
39,"Tucetona","15140Q;Casebolt 33-17",13.5,425,35,NA,NA,117,251,58
40,"Tucetona","15140J;Casebolt 33-10",4.3,865,35,NA,NA,551,623,467
41,"Tucetona","15140AB;Casebolt 33-28",9.5,900,40,NA,NA,574,675,502
42,"Tucetona","15140C;Casebolt 33-3",10.7,1085,40,NA,NA,708,791,608
43,"Tucetona","15140W;Casebolt 33-23",17.2,1235,35,NA,NA,840,953,746
44,"Tucetona","15140K;Casebolt 33-11",11.4,1300,40,NA,NA,904,1009,787
45,"Tucetona","15140D;Casebolt 33-4",31.7,1365,35,NA,NA,967,1079,844
46,"Tucetona","15140E;Casebolt 33-5",11.2,1530,40,NA,NA,1149,1274,1023
47,"Tucetona","15140T;Casebolt 33-20",27.2,1610,50,NA,NA,1233,1351,1094
48,"Tucetona","15140M;Casebolt 33-13",27.4,2045,50,NA,NA,1675,1846,1531
49,"Tucetona","15140S;Casebolt 33-19",19.8,2080,40,NA,NA,1712,1851,1591
50,"Tucetona","15140G;Casebolt 33-7",37.3,2250,45,NA,NA,1914,2044,1776
51,"Tucetona","15140U;Casebolt 33-21",22.4,2290,35,NA,NA,1961,2091,1842
52,"Tucetona","15140A;Casebolt 33-1",26.6,2295,45,2325,15,1971,2125,1825
53,"Tucetona","15140N;Casebolt 33-14",16.7,2360,40,NA,NA,2043,2179,1923
54,"Tucetona","15140AD;Casebolt 33-30",10.9,2400,40,NA,NA,2090,2220,1945
55,"Tucetona","15140B;Casebolt 33-2",11,2620,45,NA,NA,2361,2501,2206
56,"Tucetona","15140R;Casebolt 33-18",24.4,2630,40,NA,NA,2378,2511,2221
57,"Tucetona","15140X;Casebolt 33-24",21,2775,40,NA,NA,2571,2736,2413
58,"Tucetona","15140H;Casebolt 33-8",18.1,3325,40,NA,NA,3233,3388,3083
59,"Tucetona","15140P;Casebolt 33-16",18.1,4015,50,NA,NA,4090,4264,3927
60,"Tucetona","15140O;Casebolt 33-15",19.2,4145,45,4240,15,4274,4456,4121
