"sample","y","sdev"
"15140I;Casebolt 33-9",1.1554,0.0043067
"15140F;Casebolt 33-6",1.1095,0.0055112
"15140Y;Casebolt 33-25",1.1006,0.0047849
"15140Z;Casebolt 33-26",0.95439,0.0041493
"15140V;Casebolt 33-22",0.9532,0.0053248
"15140AA;Casebolt 33-27",0.95261,0.0041415
"15140AC;Casebolt 33-29",0.95261,0.0047317
"15140L;Casebolt 33-12",0.94847,0.0041235
"15140Q;Casebolt 33-17",0.94847,0.0041235
"15140J;Casebolt 33-10",0.89791,0.0039037
"15140AB;Casebolt 33-28",0.89401,0.0044406
"15140C;Casebolt 33-3",0.87366,0.0043395
"15140W;Casebolt 33-23",0.85749,0.003728
"15140K;Casebolt 33-11",0.85058,0.0042249
"15140D;Casebolt 33-4",0.84373,0.0036682
"15140E;Casebolt 33-5",0.82658,0.0041057
"15140T;Casebolt 33-20",0.81838,0.0050781
"15140M;Casebolt 33-13",0.77525,0.0048104
"15140S;Casebolt 33-19",0.77188,0.003834
"15140G;Casebolt 33-7",0.75571,0.0042216
"15140U;Casebolt 33-21",0.75196,0.0032692
"15140A;Casebolt 33-1",0.75149,0.004198
"15140N;Casebolt 33-14",0.74543,0.0037026
"15140AD;Casebolt 33-30",0.74173,0.0036842
"15140B;Casebolt 33-2",0.72169,0.0040315
"15140R;Casebolt 33-18",0.7208,0.0035803
"15140X;Casebolt 33-24",0.7079,0.0035162
"15140H;Casebolt 33-8",0.66106,0.0032835
"15140P;Casebolt 33-16",0.60664,0.0037642
"15140O;Casebolt 33-15",0.59691,0.0033345
